,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
267,848755.0182039554,268,0.6181406668948598,50,120000,264400,386400
268,848197.2658899394,269,0.6182619011884999,50,120000,265200,387200
269,847638.1442999966,270,0.6183824502198675,50,120000,266000,388000
270,847077.6662002883,271,0.618502320377864,50,120000,266800,388800
271,846515.8441915507,272,0.6186215179686027,50,120000,267600,389600
272,845952.6907118335,273,0.6187400492167793,50,120000,268400,390400
273,845388.2180391818,274,0.6188579202670145,50,120000,269200,391200
274,844822.4382942654,275,0.6189751371851696,50,120000,270000,392000
275,844255.3634429576,276,0.6190917059596369,50,120000,270800,392800
276,843687.0052988571,277,0.619207632502602,50,120000,271600,393600
277,843117.3755257672,278,0.6193229226512847,50,120000,272400,394400
278,842546.4856401193,279,0.6194375821691515,50,120000,273200,395200
279,841974.3470133534,280,0.619551616747107,50,120000,274000,396000
280,841400.9708742495,281,0.6196650320046609,50,120000,274800,396800
281,840826.368311215,282,0.6197778334910725,50,120000,275600,397600
282,840250.5502745241,283,0.6198900266864719,50,120000,276400,398400
283,839673.5275785204,284,0.6200016170029611,50,120000,277200,399200
284,839095.3109037674,285,0.6201126097856918,50,120000,278000,400000
285,838515.9107991685,286,0.6202230103139256,50,120000,278800,400800
286,837935.3376840369,287,0.6203328238020692,50,120000,279600,401600
287,837353.6018501297,288,0.6204420554006941,50,120000,280400,402400
288,836770.7134636468,289,0.620550710197535,50,120000,281200,403200
289,836186.6825671832,290,0.6206587932184685,50,120000,282000,404000
290,835601.5190816529,291,0.6207663094284749,50,120000,282800,404800
291,835015.2328081711,292,0.6208732637325806,50,120000,283600,405600
292,834427.833429904,293,0.6209796609767834,50,120000,284400,406400
293,833839.3305138815,294,0.6210855059489605,50,120000,285200,407200
294,833249.7335127778,295,0.6211908033797587,50,120000,286000,408000
295,832659.0517666584,296,0.6212955579434695,50,120000,286800,408800
296,832067.2945046949,297,0.6213997742588863,50,120000,287600,409600
297,831474.4708468451,298,0.6215034568901464,50,120000,288400,410400
298,830880.5898055099,299,0.6216066103475594,50,120000,289200,411200
299,830285.6602871486,300,0.6217092390884157,50,120000,290000,412000
300,829689.6910938749,301,0.6218113475177854,50,120000,290800,412800
301,829092.6909250198,302,0.6219129399893003,50,120000,291600,413600
302,828494.6683786614,303,0.6220140208059198,50,120000,292400,414400
303,827895.6319531361,304,0.6221145942206868,50,120000,293200,415200
304,827295.5900485152,305,0.622214664437467,50,120000,294000,416000
305,826694.5509680582,306,0.6223142356116756,50,120000,294800,416800
306,826092.5229196402,307,0.6224133118509928,50,120000,295600,417600
307,825489.5140171498,308,0.6225118972160623,50,120000,296400,418400
308,824885.5322818693,309,0.6226099957211823,50,120000,297200,419200
309,824280.5856438235,310,0.6227076113349809,50,120000,298000,420000
310,823674.6819431074,311,0.6228047479810802,50,120000,298800,420800
311,823067.8289311919,312,0.6229014095387501,50,120000,299600,421600
312,822460.0342722025,313,0.6229975998435474,50,120000,300400,422400
313,821851.3055441813,314,0.6230933226879486,50,120000,301200,423200
314,821241.6502403207,315,0.6231885818219661,50,120000,302000,424000
315,820631.0757701804,316,0.6232833809537582,50,120000,302800,424800
316,820019.5894608803,317,0.6233777237502255,50,120000,303600,425600
317,819407.1985582742,318,0.6234716138375987,50,120000,304400,426400
318,818793.9102281034,319,0.6235650548020156,50,120000,305200,427200
319,818179.7315571294,320,0.623658050190088,50,120000,306000,428000
320,817564.6695542485,321,0.6237506035094597,50,120000,306800,428800
321,816948.7311515836,322,0.6238427182293528,50,120000,307600,429600
322,816331.923205565,323,0.6239343977811086,50,120000,308400,430400
323,815714.2524979843,324,0.6240256455587151,50,120000,309200,431200
324,815095.7257370357,325,0.6241164649193277,50,120000,310000,432000
325,814476.3495583383,326,0.6242068591837816,50,120000,310800,432800
326,813856.1305259408,327,0.6242968316370939,50,120000,311600,433600
327,813235.0751333102,328,0.6243863855289588,50,120000,312400,434400
328,812613.1898043028,329,0.6244755240742331,50,120000,313200,435200
